Year,Value
1990,41.25
1991,45.525
1992,52.7
1993,67.35
1994,96.775
1995,112.875
1996,125.725
1997,114.7
1998,84.55
1999,86.675
2000,97.95
2001,88.2
2002,82.475
2003,81
2004,80.675
2005,83
2006,88.95
2007,109.925
2008,123.475
2009,106
2010,132.875
2011,145.45
2012,148.85
2013,153.55
2014,149.15
2015,143.4
2016,138.925
2017,137.4
2018,148.1
2019,151.45
2020,152.1
